"date","gdp","growth"
1981-10-01,7410.768,-4.38230524809313
1982-01-01,7295.631,-6.26336073076317
1982-04-01,7328.912,1.82055917655219
1982-07-01,7300.896,-1.53199737122236
1982-10-01,7303.817,0.160003146324073
1983-01-01,7400.066,5.23673234999649
1983-04-01,7568.456,9.00006581796546
1983-07-01,7719.746,7.91695132273134
1983-10-01,7880.794,8.2588793096015
1984-01-01,8034.847,7.74371884022784
1984-04-01,8173.67,6.85202204023838
1984-07-01,8252.465,3.83757247239487
1984-10-01,8320.199,3.26969168765672
1985-01-01,8400.82,3.85725892645894
1985-04-01,8474.787,3.50648002994447
1985-07-01,8604.22,6.06290414953108
1985-10-01,8668.188,2.96279673147666
1986-01-01,8749.127,3.71766062144516
1986-04-01,8788.524,1.79714221803025
1986-07-01,8872.601,3.80848378140115
1986-10-01,8920.193,2.13983766684649
1987-01-01,8986.367,2.95642719741664
1987-04-01,9083.256,4.28962700829842
1987-07-01,9162.024,3.4537585332302
1987-10-01,9319.332,6.80953493302283
1988-01-01,9367.502,2.06220515230129
1988-04-01,9490.594,5.22189507020983
1988-07-01,9546.206,2.33703808191024
1988-10-01,9673.405,5.29462774961402
1989-01-01,9771.725,4.04505757048454
1989-04-01,9846.293,3.0408111201389
1989-07-01,9919.228,2.95202260683567
1989-10-01,9938.767,0.787149208384363
1990-01-01,10047.386,4.34781298483671
1990-04-01,10083.855,1.44925153473565
1990-07-01,10090.569,0.266238094246773
1990-10-01,9998.704,-3.65829625922842
1991-01-01,9951.916,-1.87615565940291
1991-04-01,10029.51,3.10666075762498
1991-07-01,10080.195,2.01634414136223
1991-10-01,10115.329,1.39175533924316
1992-01-01,10236.435,4.76056736857018
1992-04-01,10347.429,4.31386743708444
1992-07-01,10449.673,3.93304119949818
1992-10-01,10558.648,4.14982148932594
1993-01-01,10576.275,0.667218104824485
1993-04-01,10637.847,2.32193150936979
1993-07-01,10688.606,1.90408018990453
1993-10-01,10833.987,5.40392920803043
1994-01-01,10939.116,3.86274081303526
1994-04-01,11087.361,5.3843286301344
1994-07-01,11152.176,2.33152995976269
